iter	Logloss
0	0.6903330126
1	0.6877510091
2	0.6855810155
3	0.6835670057
4	0.6820318833
5	0.6806469949
6	0.6796537486
7	0.6785633307
8	0.6776820246
9	0.6771454972
10	0.676579111
11	0.6757180801
12	0.6749595174
13	0.674470992
14	0.6734502405
15	0.672514799
16	0.6720571451
17	0.671570653
18	0.670827235
19	0.6702868395
20	0.6696450035
21	0.6692180766
22	0.6689596911
23	0.6683172044
24	0.6677897664
25	0.6671998962
26	0.6667710218
27	0.6661482333
28	0.6656757479
29	0.6650230353
30	0.6646000564
31	0.6638365802
32	0.6634080012
33	0.662892831
34	0.662523351
35	0.6621466112
36	0.6616844781
37	0.6611232225
38	0.6607547596
39	0.660138874
40	0.6594104276
41	0.6588620262
42	0.6583118524
43	0.6578729929
44	0.6574491578
45	0.6569462736
46	0.6565091183
47	0.6562943921
48	0.6557090911
49	0.6552369863
50	0.654939188
51	0.6544489587
52	0.6541863678
53	0.6537845411
54	0.6532073348
55	0.6527573931
56	0.6519897243
57	0.6511803672
58	0.650683918
59	0.6501967683
60	0.6497426284
61	0.6494161955
62	0.6489649654
63	0.6485130771
64	0.6480191497
65	0.6476599624
66	0.6471685222
67	0.6468473936
68	0.6463363663
69	0.6459588765
70	0.6457335426
71	0.6453269646
72	0.6448678931
73	0.6444526974
74	0.6440627041
75	0.6436840359
76	0.6432060217
77	0.6429537234
78	0.6425976663
79	0.6422002837
80	0.6416856003
81	0.6412894617
82	0.6409993403
83	0.6404481914
84	0.6400033573
85	0.6395724617
86	0.6391017453
87	0.6387797971
88	0.6382819592
89	0.6378868702
90	0.637450425
91	0.6369266333
92	0.6366022726
93	0.6363160911
94	0.6360465473
95	0.635526901
96	0.635181744
97	0.6347061255
98	0.6342859349
99	0.6338014264
